K,X_k (mm),L (mm)
0,79.2026,23
1,79.003,
2,78.7068,
3,78.508,
4,78.3037,
5,78.0073,
6,77.901,
7,77.7083,
8,77.4032,
9,77.2098,
10,76.907,
11,76.7068,
