Time;Channel A
(us);(V)

-0,55520502;4,98550400
-0,53520502;4,98550400
-0,51520502;5,07309200
-0,49520502;5,07309200
-0,47520502;5,07309200
-0,45520502;5,07309200
-0,43520502;4,98550400
-0,41520502;5,07309200
-0,39520502;5,07309200
-0,37520502;4,98550400
-0,35520502;5,07309200
-0,33520502;5,07309200
-0,31520502;4,98550400
-0,29520502;5,07309200
-0,27520502;5,07309200
-0,25520502;5,07309200
-0,23520502;5,07309200
-0,21520502;4,98550400
-0,19520502;5,07309200
-0,17520502;5,07309200
-0,15520502;5,07309200
-0,13520502;5,07309200
-0,11520502;5,07309200
-0,09520502;4,98550400
-0,07520502;5,07309200
-0,05520502;5,07309200
-0,03520502;4,98550400
-0,01520502;6,73696100
0,00479498;4,45997500
0,02479498;5,59862000
0,04479498;4,19751600
0,06479498;4,89791500
0,08479498;4,28479900
0,10479498;4,54756300
0,12479498;4,28479900
0,14479498;4,37238700
0,16479498;4,19751600
0,18479498;4,19751600
0,20479498;4,10992800
0,22479498;4,02233900
0,24479498;3,93475200
0,26479498;3,75957500
0,28479498;3,75957500
0,30479498;3,67198700
0,32479497;3,58439900
0,34479497;3,49681100
0,36479497;3,49681100
0,38479497;3,40922300
0,40479497;3,32163500
0,42479497;3,32163500
0,44479497;3,14645800
0,46479497;3,14645800
0,48479497;3,05887000
0,50479497;2,97128200
0,52479497;2,97128200
0,54479497;2,88369400
0,56479497;2,88369400
0,58479497;2,79641100
0,60479497;2,79641100
0,62479497;2,70882300
0,64479497;2,62123500
0,66479497;2,62123500
0,68479497;2,53364700
0,70479497;2,44605900
0,72479497;2,44605900
0,74479497;2,44605900
0,76479497;2,35847000
0,78479497;2,35847000
0,80479497;2,27088200
0,82479497;2,18329400
0,84479497;2,09570600
0,86479497;2,18329400
0,88479497;2,09570600
0,90479497;2,09570600
0,92479497;2,09570600
0,94479497;1,92053000
0,96479497;1,92053000
0,98479497;1,92053000
1,00479497;1,83294200
1,02479497;1,83294200
1,04479497;1,74535400
1,06479497;1,74535400
1,08479497;1,74535400
1,10479497;1,74535400
1,12479497;1,74535400
1,14479497;1,65776500
1,16479497;1,65776500
1,18479497;1,65776500
1,20479497;1,57017700
1,22479497;1,57017700
1,24479497;1,57017700
1,26479497;1,48258900
1,28479497;1,48258900
1,30479497;1,48258900
1,32479497;1,39530600
1,34479497;1,39530600
1,36479497;1,39530600
1,38479497;1,39530600
1,40479497;1,39530600
1,42479497;1,30771800
1,44479497;1,30771800
