Time;Channel A
(us);(V)

-2,05536207;5,07309200
-2,03536207;5,07309200
-2,01536207;5,07309200
-1,99536207;5,07309200
-1,97536207;5,07309200
-1,95536207;4,98550400
-1,93536208;5,07309200
-1,91536208;5,07309200
-1,89536208;5,07309200
-1,87536208;5,07309200
-1,85536208;5,07309200
-1,83536208;5,07309200
-1,81536208;5,07309200
-1,79536208;5,07309200
-1,77536208;5,07309200
-1,75536208;5,07309200
-1,73536208;5,07309200
-1,71536208;5,07309200
-1,69536208;5,07309200
-1,67536208;5,07309200
-1,65536208;5,07309200
-1,63536208;5,07309200
-1,61536208;4,98550400
-1,59536208;5,07309200
-1,57536208;4,98550400
-1,55536208;5,07309200
-1,53536208;5,07309200
-1,51536208;4,98550400
-1,49536208;5,07309200
-1,47536208;5,07309200
-1,45536208;4,98550400
-1,43536208;5,07309200
-1,41536208;5,07309200
-1,39536208;4,98550400
-1,37536208;5,07309200
-1,35536208;5,07309200
-1,33536208;4,98550400
-1,31536208;5,07309200
-1,29536208;5,07309200
-1,27536208;5,07309200
-1,25536208;5,07309200
-1,23536208;5,07309200
-1,21536208;4,98550400
-1,19536208;5,07309200
-1,17536208;5,07309200
-1,15536208;5,07309200
-1,13536208;5,07309200
-1,11536208;5,07309200
-1,09536208;5,07309200
-1,07536208;4,98550400
-1,05536208;5,07309200
-1,03536208;5,07309200
-1,01536208;4,98550400
-0,99536208;5,07309200
-0,97536208;5,07309200
-0,95536208;5,07309200
-0,93536208;5,07309200
-0,91536208;4,98550400
-0,89536208;5,07309200
-0,87536208;5,07309200
-0,85536208;5,07309200
-0,83536208;5,07309200
-0,81536208;5,07309200
-0,79536208;4,98550400
-0,77536208;5,07309200
-0,75536208;4,98550400
-0,73536208;5,07309200
-0,71536208;5,07309200
-0,69536208;5,07309200
-0,67536208;5,07309200
-0,65536208;5,07309200
-0,63536208;4,98550400
-0,61536208;5,07309200
-0,59536208;5,07309200
-0,57536208;5,07309200
-0,55536208;4,98550400
-0,53536208;5,07309200
-0,51536208;5,07309200
-0,49536208;5,07309200
-0,47536208;5,07309200
-0,45536208;5,07309200
-0,43536208;5,07309200
-0,41536208;5,07309200
-0,39536208;5,07309200
-0,37536208;5,07309200
-0,35536208;5,07309200
-0,33536208;5,07309200
-0,31536208;5,07309200
-0,29536209;4,98550400
-0,27536209;5,07309200
-0,25536209;5,07309200
-0,23536209;5,07309200
-0,21536209;5,07309200
-0,19536209;5,07309200
-0,17536209;5,07309200
