Time;Channel A
(us);(V)

-2,05371589;5,07309200
-2,03371589;5,07309200
-2,01371589;5,07309200
-1,99371589;5,07309200
-1,97371589;5,07309200
-1,95371589;5,07309200
-1,93371589;5,07309200
-1,91371589;4,98550400
-1,89371589;5,07309200
-1,87371589;4,98550400
-1,85371589;5,07309200
-1,83371589;5,07309200
-1,81371589;5,07309200
-1,79371589;5,07309200
-1,77371589;4,98550400
-1,75371589;5,07309200
-1,73371589;5,07309200
-1,71371589;5,07309200
-1,69371589;4,98550400
-1,67371589;4,98550400
-1,65371589;5,07309200
-1,63371589;4,98550400
-1,61371589;5,07309200
-1,59371589;5,07309200
-1,57371589;5,07309200
-1,55371589;5,07309200
-1,53371589;5,07309200
-1,51371589;5,07309200
-1,49371589;5,07309200
-1,47371589;5,07309200
-1,45371589;4,98550400
-1,43371589;5,07309200
-1,41371589;5,07309200
-1,39371589;5,07309200
-1,37371589;4,98550400
-1,35371589;5,07309200
-1,33371589;4,98550400
-1,31371589;5,07309200
-1,29371589;5,07309200
-1,27371589;5,07309200
-1,25371589;5,07309200
-1,23371589;5,07309200
-1,21371589;5,07309200
-1,19371589;5,07309200
-1,17371589;5,07309200
-1,15371589;5,07309200
-1,13371589;5,07309200
-1,11371589;5,07309200
-1,09371589;4,98550400
-1,07371589;5,07309200
-1,05371589;4,98550400
-1,03371590;5,07309200
-1,01371590;5,07309200
-0,99371590;5,07309200
-0,97371590;5,07309200
-0,95371590;4,98550400
-0,93371590;5,07309200
-0,91371590;5,07309200
-0,89371590;4,98550400
-0,87371590;5,07309200
-0,85371590;5,07309200
-0,83371590;5,07309200
-0,81371590;5,07309200
-0,79371590;5,07309200
-0,77371590;5,07309200
-0,75371590;5,07309200
-0,73371590;4,98550400
-0,71371590;5,07309200
-0,69371590;4,98550400
-0,67371590;5,07309200
-0,65371590;5,07309200
-0,63371590;5,07309200
-0,61371590;5,07309200
-0,59371590;5,07309200
-0,57371590;4,98550400
-0,55371590;5,07309200
-0,53371590;5,07309200
-0,51371590;5,07309200
-0,49371590;5,07309200
-0,47371590;5,07309200
-0,45371590;5,07309200
-0,43371590;5,07309200
-0,41371590;5,07309200
-0,39371590;5,07309200
-0,37371590;5,07309200
-0,35371590;5,07309200
-0,33371590;5,07309200
-0,31371590;5,07309200
-0,29371590;5,07309200
-0,27371590;5,07309200
-0,25371590;5,07309200
-0,23371590;5,07309200
-0,21371590;5,07309200
-0,19371590;5,07309200
-0,17371590;5,07309200
