Theta,V
-90,0.461
-80,0.556
-70,0.656
-60,0.752
-50,0.83
-40,0.884
-30,0.902
-20,0.888
-10,0.841
0,0.767
10,0.675
20,0.576
30,0.48
40,0.403
50,0.349
60,0.329
70,0.342
80,0.39
90,0.463
