Theta,V
-90,0.592
-80,0.589
-70,0.59
-60,0.593
-50,0.597
-40,0.603
-30,0.609
-20,0.613
-10,0.62
0,0.623
10,0.626
20,0.625
30,0.622
40,0.619
50,0.612
60,0.606
70,0.599
80,0.593
90,0.588
