Frequency;Channel A
(kHz);(dBu)

0,00000000;-25,34138000
0,19073486;-31,93968000
0,38146973;-44,49598000
0,57220459;-53,08722000
0,76293945;-57,26259000
0,95367432;-60,32590000
1,14440918;-56,07668000
1,33514404;-69,31065000
1,52587891;-63,45336000
1,71661377;-66,40254000
1,90734863;-67,38276000
2,09808350;-77,40619000
2,28881836;-65,00104000
2,47955322;-64,33241000
2,67028809;-58,76778000
2,86102295;-58,42185000
3,05175781;-61,32174000
3,24249268;-60,30666000
3,43322754;-60,68958000
3,62396240;-68,99979000
3,81469727;-56,21579000
4,00543213;-54,76368000
4,19616699;-46,90107000
4,38690186;-23,45462000
4,57763672;-9,27295900
4,76837158;-4,75113500
4,95910645;-8,11074100
5,14984131;-20,63792000
5,34057617;-45,39949000
5,53131104;-63,84208000
5,72204590;-51,37828000
5,91278076;-63,44640000
6,10351563;-58,16021000
6,29425049;-61,00888000
6,48498535;-55,15926000
6,67572021;-55,54914000
6,86645508;-56,35656000
7,05718994;-77,04202000
7,24792480;-59,23943000
7,43865967;-56,63696000
7,62939453;-57,67538000
7,82012939;-59,93390000
8,01086426;-57,43381000
8,20159912;-57,91230000
8,39233398;-53,33531000
8,58306885;-40,52311000
8,77380371;-35,93911000
8,96453857;-36,48132000
9,15527344;-41,86954000
9,34600830;-49,00749000
9,53674316;-50,94129000
9,72747803;-52,28838000
9,91821289;-56,58841000
10,10894775;-57,39362000
10,29968262;-57,44944000
10,49041748;-62,47459000
10,68115234;-64,23394000
10,87188721;-62,59329000
11,06262207;-62,02841000
11,25335693;-66,52586000
11,44409180;-59,62466000
11,63482666;-56,15862000
11,82556152;-59,14320000
12,01629639;-67,80377000
12,20703125;-55,05032000
12,39776611;-52,49502000
12,58850098;-56,53478000
12,77923584;-70,08374000
12,96997070;-61,55061000
13,16070557;-58,86951000
13,35144043;-61,63287000
13,54217529;-69,33405000
13,73291016;-66,67975000
13,92364502;-57,40921000
14,11437988;-53,59030000
14,30511475;-53,40458000
14,49584961;-51,93593000
14,68658447;-53,50772000
14,87731934;-61,71741000
15,06805420;-63,53186000
15,25878906;-60,64242000
15,44952393;-60,54929000
15,64025879;-59,06030000
15,83099365;-57,54732000
16,02172852;-58,54209000
16,21246338;-57,18911000
16,40319824;-56,11864000
16,59393311;-64,11287000
16,78466797;-59,16068000
16,97540283;-54,02764000
17,16613770;-54,34997000
17,35687256;-56,98321000
17,54760742;-60,84229000
17,73834229;-65,81252000
17,92907715;-59,33016000
18,11981201;-56,87915000
18,31054688;-62,10809000
18,50128174;-61,76473000
18,69201660;-54,63031000
18,88275146;-53,45226000
19,07348633;-53,28696000
19,26422119;-52,06756000
19,45495605;-52,52471000
19,64569092;-57,11742000
19,83642578;-62,09204000
20,02716064;-61,41685000
20,21789551;-66,66866000
20,40863037;-61,70793000
20,59936523;-57,15264000
20,79010010;-60,24573000
20,98083496;-66,79842000
21,17156982;-60,51798000
21,36230469;-58,34329000
21,55303955;-63,69862000
21,74377441;-56,07098000
21,93450928;-57,41092000
22,12524414;-65,90057000
22,31597900;-68,31184000
22,50671387;-56,20846000
22,69744873;-54,90633000
22,88818359;-61,37680000
23,07891846;-57,49276000
23,26965332;-56,48923000
23,46038818;-58,25621000
23,65112305;-64,80570000
23,84185791;-64,62786000
24,03259277;-57,73304000
24,22332764;-60,44123000
24,41406250;-61,25930000
24,60479736;-62,33965000
24,79553223;-73,46909000
24,98626709;-62,20258000
25,17700195;-62,77045000
