Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (B, A) (°)"
29/6/2024 11:06:49 PM,1500.185,0.2008851,1.853816,278.0254
29/6/2024 11:06:49 PM,1500.185,0.2008912,1.853816,278.936
29/6/2024 11:06:49 PM,1500.185,0.204413,1.853816,278.3432
29/6/2024 11:06:49 PM,1500.185,0.2008912,1.853816,279.2323
29/6/2024 11:06:49 PM,1500.185,0.2008851,1.862789,277.9492
29/6/2024 11:06:49 PM,1500.185,0.1991272,1.853816,278.936
29/6/2024 11:06:49 PM,1500.185,0.2008912,1.853816,279.233
29/6/2024 11:06:49 PM,1500.185,0.1991272,1.853816,279.3088
29/6/2024 11:06:49 PM,1499.742,0.1991272,1.853816,279.4077
29/6/2024 11:06:49 PM,1499.742,0.2008912,1.862789,278.9359
29/6/2024 11:06:49 PM,1999.966,0.2519974,1.77279,279.6774
29/6/2024 11:06:49 PM,2000.505,0.2484695,1.77279,281.229
29/6/2024 11:06:49 PM,2000.505,0.2484756,1.781793,280.9376
29/6/2024 11:06:49 PM,2000.505,0.2502335,1.77279,280.7438
29/6/2024 11:06:49 PM,1999.966,0.2502335,1.77279,280.9381
29/6/2024 11:06:49 PM,2000.505,0.2537553,1.781793,279.6775
29/6/2024 11:06:49 PM,1999.966,0.2537614,1.77279,281.9876
29/6/2024 11:06:49 PM,1999.966,0.2519974,1.77279,279.9684
29/6/2024 11:06:49 PM,2000.505,0.2537614,1.77279,281.4235
29/6/2024 11:06:50 PM,1999.966,0.2519975,1.763787,280.7438
29/6/2024 11:06:50 PM,1999.966,0.2519975,1.77279,280.6471
29/6/2024 11:06:50 PM,1999.966,0.2502335,1.781793,281.0134
29/6/2024 11:06:50 PM,1999.966,0.2537614,1.77279,280.6258
29/6/2024 11:06:50 PM,1999.966,0.2467116,1.77279,279.8495
29/6/2024 11:06:50 PM,1999.966,0.2537614,1.781793,279.5802
29/6/2024 11:06:50 PM,2000.505,0.2519974,1.77279,279.9684
29/6/2024 11:06:50 PM,1999.966,0.2502335,1.77279,280.8409
29/6/2024 11:06:50 PM,1999.966,0.2572833,1.77279,280.9376
29/6/2024 11:06:50 PM,2000.505,0.2502335,1.781793,280.9376
29/6/2024 11:06:50 PM,1999.966,0.2484756,1.77279,280.8191
29/6/2024 11:06:50 PM,1999.966,0.2537553,1.781793,279.9466
29/6/2024 11:06:50 PM,1999.966,0.2519975,1.77279,280.6471
29/6/2024 11:06:50 PM,2500.522,0.2995758,1.673818,282.3364
29/6/2024 11:06:50 PM,2499.826,0.292526,1.682821,282.5287
29/6/2024 11:06:50 PM,2500.522,0.29429,1.673818,282.2404
29/6/2024 11:06:50 PM,2499.826,0.29429,1.673818,282.5287
29/6/2024 11:06:50 PM,2499.826,0.292526,1.682821,282.3365
29/6/2024 11:06:50 PM,2500.522,0.2907621,1.682821,282.4326
29/6/2024 11:06:50 PM,2499.826,0.2978179,1.682821,282.1441
29/6/2024 11:06:50 PM,2500.522,0.2907621,1.682821,282.3365
29/6/2024 11:06:50 PM,2500.522,0.292526,1.673818,281.6432
29/6/2024 11:06:51 PM,2499.826,0.29429,1.673818,282.4326
29/6/2024 11:06:51 PM,2500.522,0.29429,1.673818,282.2403
29/6/2024 11:06:51 PM,2499.826,0.292526,1.682821,281.6438
29/6/2024 11:06:51 PM,2500.522,0.292526,1.682821,281.3762
29/6/2024 11:06:51 PM,2500.522,0.2978118,1.682821,283.4891
29/6/2024 11:06:51 PM,2499.826,0.2960539,1.691824,282.5288
29/6/2024 11:06:51 PM,2500.522,0.2907621,1.673818,282.4326
29/6/2024 11:06:51 PM,2499.826,0.292526,1.673818,281.7596
29/6/2024 11:06:51 PM,2500.522,0.29429,1.682821,282.3364
29/6/2024 11:06:51 PM,2499.826,0.2907681,1.673818,283.1057
29/6/2024 11:06:51 PM,2500.522,0.2960539,1.682821,281.7608
29/6/2024 11:06:51 PM,2499.826,0.29429,1.682821,282.5275
29/6/2024 11:06:51 PM,2500.522,0.29429,1.682821,282.4326
29/6/2024 11:06:51 PM,3000.828,0.3312967,1.592822,284.0164
29/6/2024 11:06:51 PM,3000.828,0.3312967,1.583819,284.2078
29/6/2024 11:06:51 PM,3000.033,0.3365887,1.592822,283.1576
29/6/2024 11:06:51 PM,3000.033,0.3277688,1.583819,284.569
29/6/2024 11:06:51 PM,3000.033,0.3277749,1.592822,284.0164
29/6/2024 11:06:51 PM,3000.033,0.3277688,1.592822,283.5388
29/6/2024 11:06:51 PM,3000.033,0.3277688,1.592822,283.3478
29/6/2024 11:06:51 PM,3000.033,0.3365825,1.592822,284.4939
29/6/2024 11:06:51 PM,3000.828,0.3295328,1.592822,284.0164
29/6/2024 11:06:52 PM,3000.033,0.3313028,1.601825,284.6845
29/6/2024 11:06:52 PM,3000.033,0.3295328,1.592822,283.7299
29/6/2024 11:06:52 PM,3000.033,0.3330607,1.592822,284.0164
29/6/2024 11:06:52 PM,3000.033,0.3330607,1.592822,283.3486
29/6/2024 11:06:52 PM,3000.033,0.3295328,1.592822,283.996
29/6/2024 11:06:52 PM,3000.033,0.3277688,1.592822,283.614
29/6/2024 11:06:52 PM,2999.239,0.3348247,1.592822,284.2074
29/6/2024 11:06:52 PM,3000.033,0.3330607,1.592822,283.614
29/6/2024 11:06:52 PM,3000.828,0.3295389,1.592822,284.4939
29/6/2024 11:06:52 PM,3000.033,0.3330607,1.592822,284.3984
29/6/2024 11:06:52 PM,3000.033,0.3295328,1.592822,283.3478
29/6/2024 11:06:52 PM,3000.033,0.3277749,1.592822,284.2067
29/6/2024 11:06:52 PM,3500.034,0.3577319,1.49382,286.4844
29/6/2024 11:06:52 PM,3500.034,0.3612537,1.49382,286.4844
29/6/2024 11:06:52 PM,3500.034,0.3577319,1.49382,286.4657
29/6/2024 11:06:52 PM,3500.033,0.3647817,1.49382,286.1982
29/6/2024 11:06:52 PM,3500.034,0.3612598,1.49382,286.389
29/6/2024 11:06:52 PM,3500.985,0.3594958,1.49382,286.2749
29/6/2024 11:06:52 PM,3500.033,0.3594897,1.49382,286.8464
29/6/2024 11:06:52 PM,3500.034,0.3612598,1.49382,286.389
29/6/2024 11:06:52 PM,3500.034,0.3577319,1.49382,286.2936
29/6/2024 11:06:52 PM,3500.985,0.3647817,1.49382,286.2741
29/6/2024 11:06:53 PM,3500.034,0.3612598,1.49382,286.4853
29/6/2024 11:06:53 PM,3500.033,0.3612537,1.49382,286.6752
29/6/2024 11:06:53 PM,3500.033,0.3594897,1.49382,286.8455
29/6/2024 11:06:53 PM,3500.034,0.3630177,1.49382,285.3442
29/6/2024 11:06:53 PM,3500.033,0.3594958,1.49382,285.609
29/6/2024 11:06:53 PM,3500.034,0.3612598,1.49382,285.8176
29/6/2024 11:06:53 PM,3500.033,0.3594958,1.49382,286.2936
29/6/2024 11:06:53 PM,3500.985,0.3612598,1.49382,286.6556
29/6/2024 11:06:53 PM,3500.033,0.3594958,1.49382,286.2936
29/6/2024 11:06:53 PM,3500.034,0.3577319,1.49382,286.6743
29/6/2024 11:06:53 PM,3500.033,0.3594958,1.49382,286.274
29/6/2024 11:06:53 PM,3500.034,0.3559679,1.49382,286.389
29/6/2024 11:06:53 PM,4000.624,0.382403,1.412854,288.2504
29/6/2024 11:06:53 PM,4000.624,0.384167,1.412854,287.9677
29/6/2024 11:06:53 PM,3999.573,0.384167,1.412854,288.363
29/6/2024 11:06:53 PM,4000.624,0.3859249,1.412854,288.5515
29/6/2024 11:06:53 PM,4000.624,0.387463,1.412854,288.7399
29/6/2024 11:06:53 PM,3999.573,0.387463,1.412854,288.9099
29/6/2024 11:06:53 PM,4000.624,0.387463,1.412854,288.6272
29/6/2024 11:06:53 PM,3999.573,0.387463,1.412854,288.533
29/6/2024 11:06:54 PM,4000.624,0.3830683,1.412854,288.533
29/6/2024 11:06:54 PM,4000.624,0.3859249,1.412854,288.8331
29/6/2024 11:06:54 PM,4000.624,0.384167,1.412854,288.8341
29/6/2024 11:06:54 PM,4000.624,0.3918729,1.412854,290.136
29/6/2024 11:06:54 PM,4000.624,0.3918729,1.412854,289.9652
29/6/2024 11:06:54 PM,4000.624,0.387463,1.403852,289.6643
29/6/2024 11:06:54 PM,3999.573,0.3918729,1.421857,290.3273
29/6/2024 11:06:54 PM,3999.573,0.3918729,1.403852,290.0419
29/6/2024 11:06:54 PM,3999.573,0.3918729,1.403852,291.1993
29/6/2024 11:06:54 PM,4500.523,0.4094821,1.322855,291.4726
29/6/2024 11:06:54 PM,4500.523,0.413892,1.322855,290.4357
