Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (?),Peak to peak (B) (V),"Phase (B, A) (?)"
30/6/2024 2:41:22 AM,30503.47,0.2696188,0.6163518,55.40744
30/6/2024 2:41:22 AM,30503.47,0.2696188,0.6073641,57.05142
30/6/2024 2:41:22 AM,30503.47,0.2678549,0.6073641,55.5917
30/6/2024 2:41:22 AM,30503.47,0.2696188,0.6073641,56.13688
30/6/2024 2:41:22 AM,30495.63,0.2731468,0.6073641,56.15265
30/6/2024 2:41:22 AM,30495.63,0.2696188,0.6073641,55.50372
30/6/2024 2:41:22 AM,30503.47,0.2678549,0.6073641,55.58345
30/6/2024 2:41:22 AM,30503.47,0.2713828,0.6073641,56.23311
30/6/2024 2:41:23 AM,31005.17,0.264333,0.6208533,57.32339
30/6/2024 2:41:23 AM,31005.17,0.2678549,0.6208533,54.26928
30/6/2024 2:41:23 AM,30997.21,0.2643269,0.6118656,55.9641
30/6/2024 2:41:23 AM,30997.21,0.2696188,0.6118656,58.60631
30/6/2024 2:41:23 AM,31005.17,0.2660909,0.6208686,57.1426
30/6/2024 2:41:23 AM,31005.17,0.2678549,0.6208686,57.0486
30/6/2024 2:41:23 AM,30997.21,0.264333,0.6208686,57.22158
30/6/2024 2:41:23 AM,30997.21,0.2731407,0.6253548,57.23653
30/6/2024 2:41:23 AM,31005.17,0.2713828,0.6208686,59.04957
30/6/2024 2:41:23 AM,31005.17,0.2678549,0.6253548,57.32342
30/6/2024 2:41:23 AM,30997.21,0.2696188,0.6163671,57.49742
30/6/2024 2:41:23 AM,30997.21,0.2749047,0.6163671,57.69024
30/6/2024 2:41:23 AM,31005.17,0.2643269,0.6163671,57.30256
30/6/2024 2:41:23 AM,30997.21,0.2678549,0.6208686,57.14262
30/6/2024 2:41:23 AM,31005.17,0.2660909,0.6163671,57.22159
30/6/2024 2:41:23 AM,31005.17,0.2696188,0.6163671,57.23649
30/6/2024 2:41:23 AM,30997.21,0.264333,0.6208533,55.9878
30/6/2024 2:41:23 AM,31005.17,0.2713767,0.6208533,57.9333
