Theta,V/V
-90,0.738
-80,0.766
-70,0.7884
-60,0.804
-50,0.809
-40,0.798
-30,0.782
-20,0.755
-10,0.726
0,0.693
10,0.666
20,0.643
30,0.631
40,0.628
50,0.635
60,0.653
70,0.677
80,0.708
90,0.739
