Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (B, A) (°)"
30/6/2024 3:15,1499.932,0.2854763,0.3059175,3.849237
30/6/2024 3:15,1499.932,0.2837184,0.3059175,4.243308
30/6/2024 3:15,1499.932,0.2854763,0.3059175,3.946254
30/6/2024 3:15,1499.932,0.2872402,0.2969451,5.133774
30/6/2024 3:15,1499.932,0.2837184,0.3059175,4.145154
30/6/2024 3:15,1499.52,0.2907681,0.3059175,5.625262
30/6/2024 3:15,1499.932,0.2872402,0.3059175,4.242001
30/6/2024 3:15,1499.932,0.2872402,0.3059175,4.342937
30/6/2024 3:15,1499.932,0.2854763,0.3059175,3.850315
30/6/2024 3:15,1500.343,0.2819544,0.2969451,4.443699
30/6/2024 3:15,1500.343,0.2854763,0.3059175,3.752209
30/6/2024 3:15,1499.932,0.2837184,0.3059175,4.24363
30/6/2024 3:15,1500.343,0.2819544,0.3059175,4.345192
30/6/2024 3:15,2000.356,0.2837184,0.3059175,6.985581
30/6/2024 3:15,2000.356,0.2854823,0.3149205,2.71326
30/6/2024 3:15,2000.356,0.2890042,0.3239235,6.788749
30/6/2024 3:15,2000.356,0.2819544,0.3059175,7.276068
30/6/2024 3:15,2000.356,0.2819544,0.3059175,6.791312
30/6/2024 3:15,2000.356,0.2837184,0.3059175,6.885409
30/6/2024 3:15,2000.356,0.2837184,0.3149205,7.564987
30/6/2024 3:15,2000.356,0.2854823,0.3149205,7.178372
30/6/2024 3:15,1999.786,0.2872402,0.3149205,2.42169
30/6/2024 3:15,1999.787,0.2854763,0.3059175,6.885416
30/6/2024 3:15,1999.787,0.2837184,0.3059175,7.270502
30/6/2024 3:15,2000.356,0.2819544,0.3149205,6.983578
30/6/2024 3:15,1999.787,0.2854763,0.3149205,6.787749
30/6/2024 3:15,2000.356,0.2819544,0.3149205,2.617513
30/6/2024 3:15,1999.787,0.2872402,0.3059175,6.9811
30/6/2024 3:15,2000.356,0.2854763,0.3059175,6.11205
30/6/2024 3:15,2000.356,0.2837184,0.3059175,7.078686
30/6/2024 3:15,1999.787,0.2837184,0.3059175,6.692574
30/6/2024 3:15,1999.786,0.2854763,0.3149205,1.742571
30/6/2024 3:15,2000.356,0.2889981,0.3059175,7.37077
30/6/2024 3:15,2000.356,0.2819544,0.3059175,7.370749
30/6/2024 3:15,1999.787,0.2837184,0.3059175,6.789749
30/6/2024 3:15,2364.932,0.2837184,0.3149205,8.988582
30/6/2024 3:15,2500,0.2872402,0.3149205,9.78992
30/6/2024 3:15,2500,0.2854763,0.3149205,9.11573
30/6/2024 3:15,2500,0.2837184,0.3149205,9.501504
30/6/2024 3:15,2500.667,0.2837184,0.3059175,9.887339
30/6/2024 3:15,2500.667,0.2837184,0.3149205,10.17645
30/6/2024 3:15,2500,0.2872402,0.3149205,6.046721
30/6/2024 3:15,2500.667,0.2837184,0.3059175,9.600744
30/6/2024 3:15,2500,0.2854823,0.3239235,9.50158
30/6/2024 3:15,2500,0.2837184,0.3059175,9.212438
30/6/2024 3:15,2500,0.2872402,0.3149205,9.500875
30/6/2024 3:15,2500.667,0.2837184,0.3149205,9.599577
30/6/2024 3:15,2500,0.2872402,0.3149205,6.716763
30/6/2024 3:15,2500,0.2837184,0.3239235,9.79046
30/6/2024 3:15,2500.667,0.2837184,0.3239235,9.601303
30/6/2024 3:15,2500.667,0.2837184,0.3239235,9.792951
30/6/2024 3:15,2500.667,0.2837184,0.3149205,9.409051
30/6/2024 3:15,2500,0.2837184,0.3149205,9.404186
30/6/2024 3:15,2500.667,0.2854763,0.3059175,9.023826
30/6/2024 3:15,2500.667,0.2837184,0.3149205,9.408989
30/6/2024 3:15,2500,0.2854763,0.3149205,9.021976
30/6/2024 3:15,2500,0.2837184,0.3239235,9.309243
30/6/2024 3:15,2994.934,0.2837184,0.3239235,12.37398
30/6/2024 3:15,2999.863,0.2854763,0.3239235,12.0077
30/6/2024 3:15,2999.863,0.2819544,0.3149205,12.58224
30/6/2024 3:15,3000.686,0.2872402,0.3149205,13.25291
30/6/2024 3:15,2999.863,0.2837184,0.3149205,12.29505
30/6/2024 3:15,2999.863,0.2819544,0.3149205,12.39125
30/6/2024 3:15,2999.863,0.2890042,0.3239235,12.39121
30/6/2024 3:15,3000.686,0.2837184,0.3239235,12.58246
30/6/2024 3:15,2999.863,0.2854823,0.3149205,12.10558
30/6/2024 3:15,2999.863,0.2837184,0.3149205,12.58592
30/6/2024 3:15,2999.863,0.2837184,0.3149205,12.85936
30/6/2024 3:15,3000.686,0.2837184,0.3239235,12.68069
30/6/2024 3:15,2999.863,0.2854823,0.3149205,12.58017
30/6/2024 3:15,2999.04,0.2837184,0.3239235,12.19534
30/6/2024 3:15,2999.863,0.2854763,0.3239235,12.10408
30/6/2024 3:15,3000.686,0.2854763,0.3239235,11.24905
30/6/2024 3:15,2999.863,0.2872402,0.3239235,12.1047
30/6/2024 3:15,2999.04,0.2837184,0.3239235,12.00792
30/6/2024 3:15,3000.686,0.2854763,0.3239235,12.19951
30/6/2024 3:15,3000.686,0.2837184,0.3239235,12.10479
30/6/2024 3:15,2999.863,0.2819544,0.3149205,12.39057
30/6/2024 3:15,3000.686,0.2837184,0.3149205,12.48746
30/6/2024 3:15,3499.671,0.2837184,0.3239235,14.9839
30/6/2024 3:15,3500.593,0.2872402,0.3239235,14.70281
30/6/2024 3:15,3499.671,0.2837184,0.3239235,16.02896
30/6/2024 3:15,3499.671,0.2819544,0.3239235,14.88941
30/6/2024 3:15,3499.671,0.2837123,0.3239235,14.50942
30/6/2024 3:15,3499.671,0.2837184,0.3239235,15.1747
30/6/2024 3:15,3500.593,0.2837184,0.3239235,15.08201
30/6/2024 3:15,3500.593,0.2837184,0.3239235,15.36715
30/6/2024 3:15,3500.593,0.2819544,0.3239235,14.60908
30/6/2024 3:15,3500.593,0.2854763,0.3239235,14.60736
30/6/2024 3:15,3500.593,0.2837184,0.3239235,14.79648
30/6/2024 3:15,3500.593,0.2837184,0.3239235,14.70108
30/6/2024 3:15,3500.593,0.2837184,0.3239235,14.98737
30/6/2024 3:15,3499.671,0.2890042,0.3239235,16.4079
30/6/2024 3:15,3499.671,0.2819544,0.3239235,14.7925
30/6/2024 3:15,3499.671,0.2837184,0.3239235,15.07941
30/6/2024 3:15,3499.671,0.2837184,0.3239235,15.26925
30/6/2024 3:15,3500.593,0.2837184,0.3239235,14.79649
30/6/2024 3:15,3500.593,0.2837184,0.3239235,15.27182
30/6/2024 3:15,3500.593,0.2837184,0.3239235,14.98646
30/6/2024 3:15,3499.671,0.2872402,0.3239235,16.40862
30/6/2024 3:15,3600.705,0.2837184,0.3239235,15.32075
30/6/2024 3:15,4001.011,0.2837184,0.3239235,17.77038
30/6/2024 3:15,3999.933,0.2854763,0.3239235,17.19447
30/6/2024 3:15,3999.932,0.2837184,0.3239235,17.47902
30/6/2024 3:15,4001.011,0.2837184,0.3239235,18.52752
30/6/2024 3:15,3999.933,0.2837184,0.3239235,17.86077
30/6/2024 3:15,3999.932,0.2837184,0.3239235,17.48485
30/6/2024 3:15,3999.932,0.2837184,0.3239235,17.66932
30/6/2024 3:15,4001.011,0.2837184,0.3239235,18.24311
30/6/2024 3:15,3999.932,0.2854823,0.3239235,17.57423
30/6/2024 3:15,3999.932,0.2854823,0.3239235,17.10611
30/6/2024 3:15,4001.011,0.2837184,0.3239235,17.76835
30/6/2024 3:15,3999.933,0.2801905,0.3329264,13.79382
30/6/2024 3:15,3999.932,0.2890042,0.3239235,16.62565
30/6/2024 3:15,3999.932,0.2837184,0.3239235,17.67236
30/6/2024 3:15,3999.933,0.2819544,0.3239235,17.47992
30/6/2024 3:15,3999.932,0.2837184,0.3239235,17.57532
30/6/2024 3:15,3999.932,0.2837184,0.3239235,17.77138
30/6/2024 3:15,3999.932,0.2837184,0.3239235,17.95766
30/6/2024 3:15,3999.932,0.2819544,0.3239235,17.19832
30/6/2024 3:15,3999.932,0.2837184,0.3239235,17.58015
30/6/2024 3:15,4001.011,0.2819544,0.3239235,17.39086
30/6/2024 3:15,3999.933,0.2837184,0.3239235,17.76551
30/6/2024 3:15,4500.524,0.2837184,0.3239235,20.63969
30/6/2024 3:15,4500.523,0.2872402,0.3329264,19.69595
30/6/2024 3:15,4500.524,0.2837184,0.3419294,16.58683
30/6/2024 3:15,4500.523,0.2837184,0.3239235,20.26112
30/6/2024 3:15,4500.524,0.2872402,0.3419294,22.05333
30/6/2024 3:15,4500.523,0.2819544,0.3329264,20.26014
30/6/2024 3:15,4500.524,0.2854763,0.3239235,19.69483
30/6/2024 3:15,4500.524,0.2837184,0.3329264,16.67987
30/6/2024 3:15,4500.524,0.2837184,0.3239235,19.97805
30/6/2024 3:15,4500.523,0.2890042,0.3509324,19.41181
30/6/2024 3:15,4500.523,0.2889981,0.3239235,19.97929
30/6/2024 3:15,4500.524,0.2819544,0.3239235,20.73554
30/6/2024 3:15,4500.524,0.2854823,0.3329264,19.88544
30/6/2024 3:15,4500.523,0.2854763,0.3329264,15.92643
30/6/2024 3:15,4500.524,0.2854763,0.3239235,19.50781
30/6/2024 3:15,4500.523,0.2837184,0.3239235,21.39497
30/6/2024 3:15,4501.703,0.2837184,0.3419294,20.35978
30/6/2024 3:15,4499.346,0.2854823,0.3329264,16.86865
30/6/2024 3:15,4499.346,0.2819544,0.3239235,20.15878
30/6/2024 3:15,5000.164,0.2819544,0.3509324,23.59803
30/6/2024 3:15,5000.164,0.2819544,0.3419294,23.32007
30/6/2024 3:15,5001.47,0.2819544,0.3419294,23.23091
30/6/2024 3:15,5000.164,0.2872402,0.3419294,24.35144
30/6/2024 3:15,5000.164,0.2819544,0.3419294,23.78728
30/6/2024 3:15,5000.164,0.2837184,0.3509324,18.52478
30/6/2024 3:15,5000.164,0.2854823,0.3419294,23.78745
30/6/2024 3:15,5000.164,0.2872402,0.3419294,23.6004
30/6/2024 3:15,5000.164,0.2854763,0.3419294,22.65776
30/6/2024 3:15,5000.164,0.2801905,0.3419294,23.13067
30/6/2024 3:15,5000.164,0.2837184,0.3419294,23.60237
30/6/2024 3:15,5000.164,0.292526,0.3419294,23.03545
30/6/2024 3:15,5000.164,0.2872402,0.3419294,23.03771
30/6/2024 3:15,5000.164,0.2819544,0.3419294,23.41415
30/6/2024 3:15,5001.47,0.2837184,0.3419294,23.69927
30/6/2024 3:15,5001.47,0.2837184,0.3419294,23.51417
30/6/2024 3:15,5000.164,0.2801905,0.3419294,23.69447
30/6/2024 3:15,5000.164,0.2837184,0.3419294,23.41305
30/6/2024 3:15,5000.164,0.2837184,0.3509324,18.89891
30/6/2024 3:15,5000.164,0.2837184,0.3419294,23.69425
30/6/2024 3:15,5500.326,0.2801905,0.3599353,25.91169
30/6/2024 3:15,5500.326,0.2819544,0.3509324,26.18783
30/6/2024 3:15,5498.893,0.2837184,0.3599353,26.08508
30/6/2024 3:15,5500.326,0.2819544,0.3599353,26.18764
30/6/2024 3:15,5500.326,0.2854763,0.3509324,24.96939
30/6/2024 3:15,5500.326,0.2837184,0.3509324,26.0938
30/6/2024 3:15,5500.326,0.2819544,0.3509324,26.00029
30/6/2024 3:15,5500.326,0.2854823,0.3509324,25.71734
30/6/2024 3:15,5498.893,0.2837184,0.3599353,27.12456
30/6/2024 3:15,5500.326,0.2837184,0.3599353,26.46823
30/6/2024 3:15,5500.326,0.2819544,0.3509324,25.81113
30/6/2024 3:15,5501.761,0.2854763,0.3599353,25.71629
30/6/2024 3:15,5500.326,0.2872402,0.3509324,26.09051
30/6/2024 3:15,5500.326,0.2837184,0.3509324,25.90738
30/6/2024 3:15,5500.326,0.2837184,0.3509324,25.71851
30/6/2024 3:15,5500.326,0.2819544,0.3599353,25.905
30/6/2024 3:15,5500.326,0.2837184,0.3599353,26.84495
30/6/2024 3:15,5500.326,0.2854763,0.3599353,25.15571
30/6/2024 3:15,5500.326,0.2854763,0.3509324,20.64698
30/6/2024 3:15,5501.761,0.2819544,0.3599353,26.28264
30/6/2024 3:15,5501.761,0.2837184,0.3599353,26.18657
30/6/2024 3:15,5500.326,0.2819544,0.3599353,25.99882
30/6/2024 3:15,6001.79,0.2801905,0.3599353,28.85832
30/6/2024 3:15,6000.228,0.2837184,0.3599353,28.85999
30/6/2024 3:15,6001.79,0.2837184,0.3599353,28.85952
30/6/2024 3:15,6000.228,0.2819544,0.3599353,29.04868
30/6/2024 3:15,6000.228,0.2819544,0.3599353,28.39164
30/6/2024 3:15,6000.228,0.2872402,0.3599353,29.04608
30/6/2024 3:15,6000.228,0.2801905,0.3599353,29.13996
30/6/2024 3:15,6000.228,0.2854763,0.3599353,29.60831
30/6/2024 3:15,6001.79,0.2819544,0.3599353,27.73796
30/6/2024 3:15,6000.228,0.2837184,0.3599353,30.08886
30/6/2024 3:15,6000.228,0.2819544,0.3599353,28.29812
30/6/2024 3:15,5998.666,0.2854763,0.3599353,27.83191
30/6/2024 3:15,6000.228,0.2837184,0.3599353,28.76491
30/6/2024 3:15,6000.228,0.2819544,0.3599353,28.48552
30/6/2024 3:15,6000.228,0.2819544,0.3599353,28.7657
30/6/2024 3:15,6000.228,0.2837184,0.3599353,28.67296
30/6/2024 3:15,6000.228,0.2837184,0.3599353,28.29801
30/6/2024 3:15,5998.666,0.2872402,0.3599353,28.95338
30/6/2024 3:15,6000.228,0.2801905,0.3599353,28.85843
30/6/2024 3:15,5998.666,0.2854823,0.3599353,28.9535
30/6/2024 3:15,6000.228,0.2819544,0.3599353,28.77209
30/6/2024 3:15,6500.26,0.2819544,0.3689383,31.255
30/6/2024 3:15,6500.26,0.2837184,0.3689383,31.72381
30/6/2024 3:15,6498.57,0.2837184,0.3689383,31.61971
30/6/2024 3:15,6500.26,0.2819544,0.3689383,31.81884
30/6/2024 3:15,6500.26,0.2819544,0.3689383,31.8176
30/6/2024 3:15,6500.26,0.2801905,0.3599353,31.53679
30/6/2024 3:15,6500.26,0.2854823,0.3599353,31.63029
30/6/2024 3:15,6500.26,0.2819544,0.3599353,32.0039
30/6/2024 3:15,6500.26,0.2819544,0.3689383,31.81636
30/6/2024 3:15,6500.26,0.2837123,0.3599353,30.89052
30/6/2024 3:15,6500.26,0.2837184,0.3689383,31.81757
30/6/2024 3:15,6500.26,0.2837184,0.3689383,31.63004
30/6/2024 3:15,6500.26,0.2837184,0.3689383,31.9114
30/6/2024 3:15,6500.26,0.2872402,0.3599353,30.22638
30/6/2024 3:15,6500.26,0.2854763,0.3599353,32.84957
30/6/2024 3:15,6500.26,0.2837184,0.3689383,31.63154
30/6/2024 3:15,6500.26,0.2854763,0.3599353,31.44125
30/6/2024 3:15,6500.26,0.2837184,0.3689383,31.81758
30/6/2024 3:15,6500.26,0.2854823,0.3599353,31.81884
30/6/2024 3:15,6500.26,0.2837184,0.3599353,31.53375
30/6/2024 3:15,6500.26,0.2854763,0.3689383,30.88177
30/6/2024 3:15,6890.401,0.2854763,0.3869442,34.85451
30/6/2024 3:15,7000.812,0.2872402,0.3869442,35.52237
30/6/2024 3:15,7000.812,0.2837184,0.3869442,35.61562
30/6/2024 3:15,7000.812,0.2819544,0.3869442,34.21563
30/6/2024 3:15,7000.812,0.2854763,0.3869442,34.03051
30/6/2024 3:15,7000.812,0.2819544,0.3869442,33.65644
30/6/2024 3:15,7000.812,0.2819544,0.3869442,33.84413
30/6/2024 3:15,6998.994,0.2819544,0.3869442,35.04629
30/6/2024 3:15,6998.994,0.2819544,0.3869442,35.04762
30/6/2024 3:15,7000.812,0.2854763,0.3869442,32.81799
30/6/2024 3:15,6998.994,0.2819544,0.3959471,34.68309
30/6/2024 3:15,7000.812,0.2854763,0.3869442,33.84279
30/6/2024 3:15,7000.812,0.2819544,0.3869442,34.96284
30/6/2024 3:15,7000.812,0.2889981,0.3869442,34.58587
30/6/2024 3:15,7000.812,0.2837184,0.3869442,35.05476
30/6/2024 3:15,7000.812,0.2819544,0.3869442,34.49529
30/6/2024 3:15,7000.812,0.2819544,0.3869442,34.12242
30/6/2024 3:15,7000.812,0.2819544,0.3869442,34.12373
30/6/2024 3:15,6998.994,0.2837184,0.3779412,34.40073
30/6/2024 3:15,6998.994,0.2837184,0.3779412,34.58986
30/6/2024 3:15,7000.812,0.2819544,0.3869442,35.05476
30/6/2024 3:15,6998.994,0.2854763,0.3869442,33.74245
30/6/2024 3:15,6998.994,0.2801905,0.3869442,34.39357
30/6/2024 3:15,7500.325,0.2819544,0.3959471,36.98171
30/6/2024 3:15,7500.325,0.2819544,0.3959471,37.35638
30/6/2024 3:15,7500.325,0.2837184,0.3959471,36.70225
30/6/2024 3:15,7500.325,0.2819544,0.3959471,37.45008
30/6/2024 3:15,7500.325,0.2872402,0.3959471,37.16632
30/6/2024 3:15,7500.325,0.2819544,0.3959471,37.54078
30/6/2024 3:15,7500.325,0.2837184,0.3959471,37.15844
30/6/2024 3:15,7500.325,0.2960539,0.3959471,37.07267
30/6/2024 3:15,7502.271,0.2801905,0.3959471,37.07689
