Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (B, A) (°)"
30/6/2024 2:56,1000.32,0.5371868,0.5443739,2.559403
30/6/2024 2:56,999.9999,0.5371868,0.5398724,2.457617
30/6/2024 2:56,1000,0.5327768,0.5443739,3.378585
30/6/2024 2:56,1000,0.5327768,0.5443739,2.866823
30/6/2024 2:56,1000,0.5371868,0.5443739,2.45659
30/6/2024 2:56,999.9999,0.5371868,0.5443739,2.76422
30/6/2024 2:56,1000.32,0.5327768,0.5443739,2.356086
30/6/2024 2:56,1000.32,0.5415815,0.5488754,3.583207
30/6/2024 2:56,1000,0.5327768,0.5398724,3.481942
30/6/2024 2:56,999.6801,0.5327768,0.5443739,2.559642
30/6/2024 2:56,999.6801,0.5327768,0.5443739,2.66221
30/6/2024 2:56,1000,0.5371715,0.5443739,1.740961
30/6/2024 2:56,999.9999,0.5371715,0.5533769,2.764254
30/6/2024 2:56,999.6801,0.5327768,0.5488754,3.378315
30/6/2024 2:56,1000,0.5371715,0.5488754,2.560184
30/6/2024 2:56,999.6801,0.5327768,0.5443739,2.457617
30/6/2024 2:56,1000,0.5283669,0.5443739,2.355305
30/6/2024 2:56,1000,0.5371868,0.5443739,3.071424
30/6/2024 2:56,1000.32,0.5371868,0.5533769,2.866858
30/6/2024 2:56,1000,0.5371868,0.5443739,2.150444
30/6/2024 2:56,999.9999,0.5327768,0.5443739,2.456549
30/6/2024 2:56,1000,0.5371868,0.5488754,2.867617
30/6/2024 2:56,999.6801,0.5371715,0.5533769,1.432475
30/6/2024 2:56,1000,0.5327768,0.5533769,2.559656
30/6/2024 2:56,1000,0.5371715,0.5443739,2.14992
30/6/2024 2:56,1000.32,0.5327768,0.5443739,2.150441
30/6/2024 2:56,1000,0.5283669,0.5488754,2.456843
30/6/2024 2:56,1000.32,0.5371715,0.5488754,1.945567
30/6/2024 2:56,1000.32,0.5327768,0.5488754,2.355031
30/6/2024 2:56,999.6801,0.5283669,0.5398724,2.661439
30/6/2024 2:56,1000.32,0.5327768,0.5533769,2.354519
30/6/2024 2:56,1000,0.5327768,0.5443739,2.556469
30/6/2024 2:56,1000,0.5415815,0.5533769,2.458915
30/6/2024 2:56,1000,0.5371715,0.5443739,1.945051
30/6/2024 2:56,999.9999,0.5327768,0.5443739,2.764235
30/6/2024 2:56,999.9999,0.5415815,0.5443739,3.276806
30/6/2024 2:56,999.6801,0.5327768,0.5443739,2.560194
30/6/2024 2:56,1000,0.5371868,0.5443739,2.661703
30/6/2024 2:56,1000,0.5371868,0.5533769,2.969909
30/6/2024 2:56,999.6801,0.5371715,0.5443739,1.74043
30/6/2024 2:56,1000,0.5283669,0.5398724,2.251987
30/6/2024 2:56,1000,0.5371868,0.5488754,2.354796
30/6/2024 2:56,1000.32,0.5327768,0.5488754,2.968374
30/6/2024 2:56,1000,0.5327768,0.5443739,2.662208
30/6/2024 2:56,1000.32,0.5327768,0.5443739,2.560171
30/6/2024 2:56,1000,0.5327768,0.5533769,2.354274
30/6/2024 2:56,1000.32,0.5371715,0.5533769,1.94478
30/6/2024 2:56,1000.32,0.5371715,0.5443739,1.944254
30/6/2024 2:56,1000,0.5415815,0.5578784,2.764792
30/6/2024 2:56,1000,0.5459762,0.5533769,2.150963
30/6/2024 2:56,1000,0.5371715,0.5443739,2.662459
30/6/2024 2:56,1000.32,0.5327768,0.5443739,2.56021
30/6/2024 2:56,1000,0.5371715,0.5488754,2.866533
30/6/2024 2:56,1000,0.5371715,0.5488754,2.457101
30/6/2024 2:56,1000,0.5327768,0.5443739,2.662477
30/6/2024 2:56,1000.32,0.5283669,0.5443739,2.355267
30/6/2024 2:56,1000,0.5415815,0.5443739,2.560161
30/6/2024 2:56,1000,0.5283669,0.5398724,2.45739
30/6/2024 2:56,1000,0.5327769,0.5533769,3.173461
30/6/2024 2:56,1000.32,0.5283669,0.5488754,3.071159
30/6/2024 2:56,1000,0.5327768,0.5488754,2.661965
30/6/2024 2:56,1000,0.5415815,0.5578784,2.150232
30/6/2024 2:56,1000,0.5415815,0.5488754,2.457066
30/6/2024 2:56,999.9999,0.5503861,0.5488754,2.969889
30/6/2024 2:56,1000,0.5371715,0.5488754,1.740707
30/6/2024 2:56,1000.32,0.5371868,0.5533769,1.740733
30/6/2024 2:56,999.6801,0.5327768,0.5488754,3.789356
30/6/2024 2:56,1000,0.5371868,0.5488754,2.764509
30/6/2024 2:56,1000,0.5327768,0.5443739,3.891678
30/6/2024 2:56,1000,0.5327768,0.5488754,2.353752
30/6/2024 2:56,1000.32,0.5327768,0.5488754,3.276849
30/6/2024 2:56,1000,0.5415815,0.5488754,3.275997
30/6/2024 2:56,1000,0.5371868,0.5578784,2.252474
30/6/2024 2:56,1000,0.5327768,0.5488754,3.174509
30/6/2024 2:56,1000,0.5371715,0.5533769,1.535309
30/6/2024 2:56,1000,0.5415815,0.5488754,3.584248
30/6/2024 2:56,1000.32,0.5327768,0.5488754,3.379625
30/6/2024 2:56,1000,0.5327768,0.5533769,0.8191763
30/6/2024 2:56,999.6801,0.5327768,0.5443739,2.661961
30/6/2024 2:56,1000,0.5327768,0.5443739,2.76373
30/6/2024 2:56,1000,0.5327768,0.5488754,3.072471
30/6/2024 2:56,1000,0.5327768,0.5488754,3.174515
30/6/2024 2:56,1000,0.5327768,0.5443739,2.457357
30/6/2024 2:56,1500.755,0.5327768,0.5488754,4.541862
30/6/2024 2:56,1500.343,0.5327768,0.5488754,3.851424
30/6/2024 2:56,1499.932,0.5371715,0.5488754,3.554743
30/6/2024 2:56,1499.932,0.5327768,0.5443739,4.048108
30/6/2024 2:56,1499.932,0.5283669,0.5488754,4.046608
30/6/2024 2:56,1499.932,0.5327768,0.5443739,3.848779
30/6/2024 2:56,1499.932,0.5415815,0.5443739,4.837394
30/6/2024 2:56,1499.932,0.5371868,0.5488754,4.443691
30/6/2024 2:56,1499.932,0.5327768,0.5488754,4.047732
30/6/2024 2:56,1500.343,0.5371715,0.5488754,3.94923
30/6/2024 2:56,1500.343,0.5327768,0.5443739,4.245131
30/6/2024 2:56,1499.932,0.5327768,0.5398724,4.048069
30/6/2024 2:56,1500.343,0.5327768,0.5488754,4.541091
30/6/2024 2:56,1500.343,0.5459914,0.5488754,4.641111
30/6/2024 2:56,1499.932,0.5283669,0.5443739,3.851411
30/6/2024 2:56,1499.932,0.5459762,0.5533769,4.147728
30/6/2024 2:56,1499.932,0.5327768,0.5488754,4.541085
30/6/2024 2:56,1500.343,0.5371868,0.5533769,3.849524
30/6/2024 2:56,1500.343,0.5327768,0.5443739,3.752525
30/6/2024 2:56,1499.932,0.5327768,0.5488754,4.345148
30/6/2024 2:56,1499.932,0.5327768,0.5488754,4.047721
30/6/2024 2:56,1499.932,0.5327768,0.5488754,4.640801
30/6/2024 2:56,2000.356,0.5327768,0.5488754,6.207178
30/6/2024 2:56,2000.356,0.5327768,0.5488754,5.624723
30/6/2024 2:56,2000.356,0.5327768,0.5533769,5.430923
30/6/2024 2:56,2000.356,0.5327768,0.5443739,5.23656
30/6/2024 2:56,2000.356,0.5327768,0.5443739,5.140925
30/6/2024 2:56,2000.356,0.5371715,0.5443739,4.36453
30/6/2024 2:56,2000.356,0.5327768,0.5533769,5.239013
30/6/2024 2:56,1999.787,0.5327768,0.5443739,5.334709
30/6/2024 2:56,1999.787,0.5327768,0.5488754,5.914801
30/6/2024 2:56,1999.787,0.5327769,0.5488754,6.985542
30/6/2024 2:56,2000.356,0.5327768,0.5443739,5.044262
30/6/2024 2:56,1999.787,0.5371868,0.5443739,5.43135
30/6/2024 2:56,1999.787,0.5371868,0.5443739,5.043741
30/6/2024 2:56,2000.356,0.5327768,0.5533769,6.110007
30/6/2024 2:56,2000.356,0.5283669,0.5443739,5.528519
30/6/2024 2:56,2000.356,0.5327768,0.5443739,5.336175
30/6/2024 2:56,1999.787,0.5371715,0.5488754,5.237523
30/6/2024 2:56,2000.356,0.5371715,0.5533769,3.685854
30/6/2024 2:56,2000.356,0.5327768,0.5578784,4.849878
30/6/2024 2:56,2000.356,0.5371868,0.5488754,6.111547
30/6/2024 2:56,2000.356,0.5371868,0.5443739,4.946571
30/6/2024 2:56,2500,0.5283669,0.5488754,7.103668
30/6/2024 2:56,2500.667,0.5371868,0.5488754,7.39032
30/6/2024 2:56,2500,0.5371715,0.5533769,5.950481
30/6/2024 2:56,2500,0.5327768,0.5443739,6.91146
30/6/2024 2:56,2500,0.5371715,0.5488754,6.3352
30/6/2024 2:56,2500,0.5327769,0.5488754,7.774299
30/6/2024 2:56,2500,0.5283669,0.5443739,6.144698
30/6/2024 2:56,2500,0.5327768,0.5443739,6.526916
30/6/2024 2:56,2500,0.5327768,0.5443739,6.52751
30/6/2024 2:56,2500.667,0.5371715,0.5488754,6.622395
30/6/2024 2:56,2500.667,0.5327768,0.5488754,7.101848
30/6/2024 2:56,2500,0.5327768,0.5488754,7.293585
30/6/2024 2:56,2500,0.5371715,0.5488754,6.431332
30/6/2024 2:56,2500,0.5283669,0.5488754,7.296636
30/6/2024 2:56,2500,0.5283669,0.5488754,7.294793
30/6/2024 2:56,2500,0.5327768,0.5488754,7.007602
30/6/2024 2:56,2500,0.5283669,0.5578784,6.814006
30/6/2024 2:56,2500,0.5327768,0.5488754,7.103076
30/6/2024 2:56,2500.667,0.5371868,0.5488754,7.198649
30/6/2024 2:56,2500.667,0.5283669,0.5488754,7.198065
30/6/2024 2:56,2500,0.5327769,0.5578784,7.677569
30/6/2024 2:56,2999.863,0.5415815,0.5488754,8.199093
30/6/2024 2:56,2999.863,0.5327768,0.5533769,7.626935
30/6/2024 2:56,2999.863,0.5327768,0.5533769,6.7674
30/6/2024 2:56,2999.863,0.5283669,0.5533769,7.626222
30/6/2024 2:56,3000.686,0.5327768,0.5578784,7.723896
30/6/2024 2:56,2999.863,0.5371715,0.5488754,7.435224
30/6/2024 2:56,2999.863,0.5327768,0.5488754,8.198358
30/6/2024 2:56,3000.686,0.5283669,0.5488754,8.198366
30/6/2024 2:56,3000.686,0.5327768,0.5488754,8.007439
30/6/2024 2:56,2999.863,0.5327768,0.5533769,7.530721
30/6/2024 2:56,3000.686,0.5371868,0.5488754,8.19834
30/6/2024 2:56,2999.863,0.5371715,0.5488754,7.817204
30/6/2024 2:56,2999.863,0.5327768,0.5623798,7.721701
30/6/2024 2:56,2999.863,0.5283669,0.5488754,8.293825
30/6/2024 2:56,2999.863,0.5327768,0.5488754,8.57805
30/6/2024 2:56,2999.863,0.5327768,0.5488754,7.912667
30/6/2024 2:56,2999.863,0.5283669,0.5488754,7.912683
30/6/2024 2:56,2999.863,0.5371715,0.5488754,7.817187
30/6/2024 2:56,2999.863,0.5327768,0.5488754,8.197654
30/6/2024 2:56,2999.863,0.5371868,0.5488754,8.295992
30/6/2024 2:56,3000.686,0.5327769,0.5488754,9.149508
30/6/2024 2:56,2999.863,0.5327768,0.5488754,8.484037
30/6/2024 2:56,3499.671,0.5371868,0.5533769,8.81771
30/6/2024 2:56,3500.593,0.5327768,0.5533769,9.200898
30/6/2024 2:56,3500.593,0.5327768,0.5533769,9.200899
30/6/2024 2:56,3500.593,0.5327768,0.5488754,9.484493
