Frequency (B) (Hz),Peak to peak (A) (V),Normalized Peak to Peak (A) (V) ,Peak to peak (B) (V),"Phase (A, B) (°)",,,
2000.312,0.1137577,0.439138891,1.6198,81.96247,,,
2000.312,0.1110904,0.428842311,1.6198,82.2456,,,
1999.966,0.1128697,0.435710944,1.628803,80.25909,,,
2000.312,0.1128697,0.435710944,1.6198,83.09348,,,
1999.966,0.1119816,0.432282611,1.6198,82.434,,,
1999.787,0.1093142,0.421985646,1.6198,82.41264,,,
1999.966,0.1093143,0.421986032,1.6198,82.97789,,,
1999.966,0.1137577,0.439138891,1.6198,81.11444,,,
1999.787,0.1128697,0.435710944,1.6198,84.0423,,,
2000.312,0.1110904,0.428842311,1.6198,82.15138,,,
2000.312,0.1137608,0.439150857,1.628803,84.13646,,,
1999.966,0.1110935,0.428854278,1.6198,81.39787,,,
1999.787,0.1110904,0.428842311,1.628803,83.37608,,,
2302.72,0.1288644,0.49745529,1.6198,83.07998,,,
2500.082,0.1306436,0.504323536,1.547838,82.47754,,,
2500.082,0.133311,0.514620502,1.547838,81.74481,,,
2500.082,0.1297525,0.500883623,1.547838,82.12231,,,
2500.082,0.1324229,0.511192169,1.547838,82.38338,,,
2500.082,0.1315348,0.507763836,1.547838,82.28918,,,
2500.082,0.1324229,0.511192169,1.547838,82.00597,,,
2500.082,0.1297556,0.50089559,1.547838,83.03998,,,
2500.082,0.1306436,0.504323536,1.547838,82.38339,,,
2500.082,0.1306436,0.504323536,1.547838,83.03996,,,
2500,0.1297525,0.500883623,1.547838,82.38213,,,
2500.082,0.1297556,0.50089559,1.547838,82.75877,,,
2500.082,0.1324198,0.511180202,1.547838,80.78184,,,
2500.082,0.1297525,0.500883623,1.547838,82.28918,,,
2500.082,0.1359752,0.524905114,1.547838,82.38338,,,
2500,0.1306436,0.504323536,1.547838,82.57045,,,
3000.114,0.1493088,0.576376815,1.466811,81.25984,,,
3000.114,0.1493088,0.576376815,1.475814,81.16592,,,
3000.114,0.1484207,0.572948482,1.466811,81.259,,,
3000.114,0.1510849,0.583233094,1.475814,81.44684,,,
3000.895,0.1475326,0.569520149,1.466811,82.0109,,,
3000.114,0.1519761,0.586673394,1.466811,80.69628,,,
3000.114,0.1493088,0.576376815,1.475814,81.91708,,,
3000.114,0.1484207,0.572948482,1.475814,82.10479,,,
3000.114,0.1493088,0.576376815,1.466811,82.19865,,,
3000.114,0.1519761,0.586673394,1.475814,80.79022,,,
3000.114,0.1501969,0.579805147,1.466811,80.79027,,,
3000.114,0.1493088,0.576376815,1.466811,82.01095,,,
3000.114,0.1484207,0.572948482,1.466811,82.01092,,,
3000.114,0.1493088,0.576376815,1.475814,81.16593,,,
3000.114,0.1528642,0.590101727,1.466811,80.60157,,,
3000.114,0.1510849,0.583233094,1.475814,81.46735,,,
3014.082,0.1617481,0.624396249,1.475814,81.44296,,,
3500.406,0.1661946,0.641561075,1.376842,80.03575,,,
