Time;Channel A
(ns);(V)

-154,66817160;5,07309200
-134,66817173;5,07309200
-114,66817185;4,98550400
-94,66817197;5,07309200
-74,66817209;4,98550400
-54,66817221;5,07309200
-34,66817233;5,68590400
-14,66817245;5,33585600
5,33182742;4,89791500
25,33182730;4,19751600
45,33182718;4,02233900
65,33182706;3,23404600
85,33182694;3,14645800
105,33182682;2,79641100
125,33182669;2,70882300
145,33182657;2,44605900
165,33182645;2,35847000
185,33182633;2,00811800
205,33182621;1,92053000
225,33182609;1,74535400
245,33182597;1,57017700
265,33182584;1,48258900
285,33182572;1,39530600
305,33182560;1,22013000
325,33182548;1,13254200
345,33182536;1,04495400
365,33182524;0,95736560
385,33182511;0,86977750
405,33182499;0,78218940
425,33182487;0,78218940
445,33182475;0,69460130
465,33182463;0,69460130
485,33182451;0,60701320
505,33182439;0,60701320
525,33182426;0,51942500
545,33182414;0,60701320
565,33182402;0,43183690
585,33182390;0,34424880
605,33182378;0,51942500
625,33182366;0,34424880
645,33182353;0,34424880
665,33182341;0,34424880
685,33182329;0,25666070
705,33182317;0,34424880
725,33182305;0,34424880
745,33182293;0,25666070
765,33182281;0,34424880
785,33182268;0,25666070
805,33182256;0,25666070
825,33182244;0,25666070
845,33182232;0,25666070
865,33182220;0,25666070
885,33182208;0,25666070
905,33182195;0,16907250
