Time;Channel A
(ns);(V)

-155,61681721;5,07309200
-135,61681733;5,07309200
-115,61681745;5,07309200
-95,61681757;5,07309200
-75,61681770;5,07309200
-55,61681782;5,07309200
-35,61681794;5,07309200
-15,61681806;6,47419600
4,38318182;4,63515100
24,38318170;5,24826800
44,38318157;3,58439900
64,38318145;4,10992800
84,38318133;3,14645800
104,38318121;3,14645800
124,38318109;2,79641100
144,38318097;2,62123500
164,38318085;2,35847000
184,38318072;2,27088200
204,38318060;2,00811800
224,38318048;1,83294200
244,38318036;1,74535400
264,38318024;1,48258900
284,38318012;1,39530600
304,38317999;1,39530600
324,38317987;1,13254200
344,38317975;1,13254200
364,38317963;1,04495400
384,38317951;0,95736560
404,38317939;0,86977750
424,38317926;0,78218940
444,38317914;0,69460130
464,38317902;0,69460130
484,38317890;0,60701320
504,38317878;0,60701320
524,38317866;0,60701320
544,38317854;0,43183690
564,38317841;0,51942500
584,38317829;0,43183690
604,38317817;0,43183690
624,38317805;0,43183690
644,38317793;0,34424880
664,38317781;0,34424880
684,38317768;0,34424880
704,38317756;0,34424880
724,38317744;0,34424880
744,38317732;0,34424880
764,38317720;0,25666070
784,38317708;0,25666070
804,38317696;0,34424880
824,38317683;0,16907250
844,38317671;0,25666070
864,38317659;0,25666070
884,38317647;0,16907250
904,38317635;0,25666070
