Time;Channel A
(us);(V)

-2,05593506;5,07309200
-2,03593506;4,98550400
-2,01593506;5,07309200
-1,99593506;5,07309200
-1,97593506;5,07309200
-1,95593506;4,98550400
-1,93593506;5,07309200
-1,91593506;4,98550400
-1,89593506;5,07309200
-1,87593506;5,07309200
-1,85593506;4,98550400
-1,83593506;5,07309200
-1,81593506;5,07309200
-1,79593506;5,07309200
-1,77593506;4,98550400
-1,75593506;5,07309200
-1,73593506;5,07309200
-1,71593506;5,07309200
-1,69593506;5,07309200
-1,67593506;4,98550400
-1,65593506;5,07309200
-1,63593506;5,07309200
-1,61593506;5,07309200
-1,59593506;5,07309200
-1,57593506;5,07309200
-1,55593506;5,07309200
-1,53593506;5,07309200
-1,51593506;5,07309200
-1,49593506;4,98550400
-1,47593506;5,07309200
-1,45593506;5,07309200
-1,43593506;5,07309200
-1,41593506;4,98550400
-1,39593506;5,07309200
-1,37593506;5,07309200
-1,35593506;5,07309200
-1,33593506;5,07309200
-1,31593506;5,07309200
-1,29593506;5,07309200
-1,27593506;5,07309200
-1,25593506;4,98550400
-1,23593506;5,07309200
-1,21593506;4,98550400
-1,19593506;5,07309200
-1,17593506;5,07309200
-1,15593506;5,07309200
-1,13593506;4,98550400
-1,11593506;5,07309200
-1,09593506;4,98550400
-1,07593506;4,98550400
-1,05593506;5,07309200
-1,03593506;5,07309200
-1,01593506;5,07309200
-0,99593506;5,07309200
-0,97593506;5,07309200
-0,95593506;5,07309200
-0,93593506;5,07309200
-0,91593506;5,07309200
-0,89593506;5,07309200
-0,87593506;5,07309200
-0,85593506;5,07309200
-0,83593506;5,07309200
-0,81593506;5,07309200
-0,79593506;5,07309200
-0,77593506;5,07309200
-0,75593506;5,07309200
-0,73593506;5,07309200
-0,71593506;4,98550400
-0,69593506;5,07309200
-0,67593506;5,07309200
-0,65593506;4,98550400
-0,63593506;4,98550400
-0,61593506;5,07309200
-0,59593506;4,98550400
-0,57593506;5,07309200
-0,55593507;5,07309200
-0,53593507;5,07309200
-0,51593507;5,07309200
-0,49593507;5,07309200
-0,47593507;5,07309200
-0,45593507;4,98550400
-0,43593507;5,07309200
-0,41593507;5,07309200
-0,39593507;5,07309200
-0,37593507;4,98550400
-0,35593507;5,07309200
-0,33593507;5,07309200
-0,31593507;4,98550400
-0,29593507;5,07309200
-0,27593507;5,07309200
-0,25593507;5,07309200
-0,23593507;5,07309200
-0,21593507;4,98550400
-0,19593507;5,07309200
-0,17593507;5,07309200
