Time;Channel A
(us);(V)

-2,05340802;5,07309200
-2,03340803;5,07309200
-2,01340803;5,07309200
-1,99340803;5,07309200
-1,97340803;5,07309200
-1,95340803;5,07309200
-1,93340803;5,07309200
-1,91340803;5,07309200
-1,89340803;4,98550400
-1,87340803;5,07309200
-1,85340803;5,07309200
-1,83340803;5,07309200
-1,81340803;5,07309200
-1,79340803;5,07309200
-1,77340803;5,07309200
-1,75340803;5,07309200
-1,73340803;5,07309200
-1,71340803;5,07309200
-1,69340803;5,07309200
-1,67340803;5,07309200
-1,65340803;5,07309200
-1,63340803;4,98550400
-1,61340803;5,07309200
-1,59340803;5,07309200
-1,57340803;4,98550400
-1,55340803;5,07309200
-1,53340803;5,07309200
-1,51340803;5,07309200
-1,49340803;5,07309200
-1,47340803;5,07309200
-1,45340803;5,07309200
-1,43340803;5,07309200
-1,41340803;5,07309200
-1,39340803;5,07309200
-1,37340803;5,07309200
-1,35340803;4,98550400
-1,33340803;4,98550400
-1,31340803;5,07309200
-1,29340803;4,98550400
-1,27340803;5,07309200
-1,25340803;5,07309200
-1,23340803;4,98550400
-1,21340803;5,07309200
-1,19340803;5,07309200
-1,17340803;5,07309200
-1,15340803;5,07309200
-1,13340803;5,07309200
-1,11340803;5,07309200
-1,09340803;5,07309200
-1,07340803;5,07309200
-1,05340803;5,07309200
-1,03340803;5,07309200
-1,01340803;5,07309200
-0,99340803;5,07309200
-0,97340803;5,07309200
-0,95340803;4,98550400
-0,93340803;5,07309200
-0,91340803;4,98550400
-0,89340803;5,07309200
-0,87340803;4,98550400
-0,85340803;5,07309200
-0,83340803;4,98550400
-0,81340803;5,07309200
-0,79340803;5,07309200
-0,77340803;5,07309200
-0,75340803;5,07309200
-0,73340803;5,07309200
-0,71340803;5,07309200
-0,69340803;5,07309200
-0,67340803;5,07309200
-0,65340803;5,07309200
-0,63340803;5,07309200
-0,61340803;5,07309200
-0,59340803;5,07309200
-0,57340803;5,07309200
-0,55340803;5,07309200
-0,53340803;5,07309200
-0,51340803;4,98550400
-0,49340803;5,07309200
-0,47340803;5,07309200
-0,45340803;4,98550400
-0,43340803;5,07309200
-0,41340803;5,07309200
-0,39340804;5,07309200
-0,37340804;5,07309200
-0,35340804;5,07309200
-0,33340804;4,98550400
-0,31340804;5,07309200
-0,29340804;5,07309200
-0,27340804;5,07309200
-0,25340804;5,07309200
-0,23340804;5,07309200
-0,21340804;5,07309200
-0,19340804;5,07309200
-0,17340804;5,07309200
